,,,D=!,phi1,teta12,Xt(1),,,,,,,
t,Pre,Residuos,dpre,-0.169178526,-0.686832399,,,,,,,,
378,0,-107.8488029,-167,8.628104835,-50.52309223,,,,,,,,
379,0,-34.53065928,-137,28.25281387,-74.21652686,,,,,,,,
380,3,-160.9239545,-274,23.17745808,-89.89858738,,,,,,,,
381,63,-100.8578736,-42,46.35491617,105.2127898,,,,,,,,
382,108,-20.21333408,-37,7.105498099,-9.681167826,,,,,,,,
383,467,358.7430428,467,6.259605468,114.5165627,,,,,,,,
384,817,-12.35762748,-82,-79.00637172,-148.6487443,,,,,,,,
385,2081,178.6440501,-169,13.87263915,-333.7714109,,,,,,,,
386,1775,283.6711152,238,28.59117092,-17.07994426,,,,,,,,
387,946,-548.567966,-861,-40.26448923,-352.6965232,,,,,,,,
388,1958,-29.97514881,-1222,145.662711,-1046.36214,,,,,,,,
389,261,-266.0758526,-201,206.736159,271.8120116,,,,,,,,
390,170,129.9308317,170,34.00488376,74.07405202,,,,,,,,
391,15,-37.47712499,15,-28.76034945,23.71677554,,,,,,,,
392,0,-116.0654636,-3,-2.537677893,110.5277857,,,,,,,,
393,127,-4.764919684,64,0.507535579,69.27245527,,,,,,,,
394,0,-132.7105984,-108,-10.82742567,13.88317273,,,,,,,,
395,656,453.6676254,189,18.27128083,-246.3963446,,,,,,,,
396,868,10.53763963,51,-31.97474145,8.487618922,,,,,,,,
397,1986,19.07041659,-95,-8.628104835,-122.6985214,,,,,,,,
398,1706,141.9064725,-69,16.07195999,-194.8345125,,,,,,,,
399,691,-620.1009337,-255,11.67331831,376.774252,,,,,,,,
400,982,-953.4473792,-976,43.14052417,20.58790336,,,,,,,,
401,656,377.3687255,395,165.1182415,182.7495161,,,,,,,,
402,5,-142.584813,-165,-66.82551784,-89.24070483,,,,,,,,
403,0,-12.82604683,-15,27.91445682,25.74050365,,,,,,,,
404,0,-77.17984287,0,2.537677893,79.71752077,,,,,,,,
405,327,196.7272988,200,0,3.272701216,,,,,,,,
